"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","word","color","congruent"
"681","
        <p>Hello!</p>
        <p>You will see color words (RED, BLUE, GREEN, YELLOW) displayed on the screen.</p>
        <p>The words will be shown in different colors.</p>
        <p>Your task: Press the key for the COLOR of the text</p>
        <br>
        <p>Key mapping:</p>
        <p><b>R</b> = Red | <b>B</b> = Blue | <b>G</b> = Green | <b>Y</b> = Yellow</p>
        <p><b>Answer as fast as you can!</b></p>
        <br>
        <p>Press any key to start.</p>
        "," ","html-keyboard-response","0","2.0.0","683","","",""
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","1","2.0.0","1198","","",""
"null","","null","html-keyboard-response","2","2.0.0","1412","","",""
"1542","<p style='color: blue; font-size: 48px;'>RED</p>","r","html-keyboard-response","3","2.0.0","2955","RED","blue","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","4","2.0.0","3457","","",""
"null","","null","html-keyboard-response","5","2.0.0","3660","","",""
"301","<p style='color: red; font-size: 48px;'>YELLOW</p>","r","html-keyboard-response","6","2.0.0","3961","YELLOW","red","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","7","2.0.0","4471","","",""
"null","","null","html-keyboard-response","8","2.0.0","4677","","",""
"379","<p style='color: green; font-size: 48px;'>RED</p>","r","html-keyboard-response","9","2.0.0","5057","RED","green","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","10","2.0.0","5560","","",""
"null","","null","html-keyboard-response","11","2.0.0","5777","","",""
"631","<p style='color: yellow; font-size: 48px;'>RED</p>","y","html-keyboard-response","12","2.0.0","6410","RED","yellow","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","13","2.0.0","6911","","",""
"null","","null","html-keyboard-response","14","2.0.0","7127","","",""
"381","<p style='color: green; font-size: 48px;'>GREEN</p>","y","html-keyboard-response","15","2.0.0","7509","GREEN","green","true"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","16","2.0.0","8019","","",""
"null","","null","html-keyboard-response","17","2.0.0","8226","","",""
"76","<p style='color: blue; font-size: 48px;'>BLUE</p>","b","html-keyboard-response","18","2.0.0","8303","BLUE","blue","true"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","19","2.0.0","8808","","",""
"null","","null","html-keyboard-response","20","2.0.0","9011","","",""
"81","<p style='color: yellow; font-size: 48px;'>YELLOW</p>","b","html-keyboard-response","21","2.0.0","9093","YELLOW","yellow","true"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","22","2.0.0","9603","","",""
"null","","null","html-keyboard-response","23","2.0.0","9811","","",""
"68","<p style='color: green; font-size: 48px;'>YELLOW</p>","y","html-keyboard-response","24","2.0.0","9880","YELLOW","green","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","25","2.0.0","10390","","",""
"null","","null","html-keyboard-response","26","2.0.0","10595","","",""
"102","<p style='color: yellow; font-size: 48px;'>YELLOW</p>","r","html-keyboard-response","27","2.0.0","10697","YELLOW","yellow","true"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","28","2.0.0","11205","","",""
"null","","null","html-keyboard-response","29","2.0.0","11411","","",""
"239","<p style='color: blue; font-size: 48px;'>BLUE</p>","y","html-keyboard-response","30","2.0.0","11651","BLUE","blue","true"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","31","2.0.0","12153","","",""
"null","","null","html-keyboard-response","32","2.0.0","12361","","",""
"258","<p style='color: blue; font-size: 48px;'>YELLOW</p>","r","html-keyboard-response","33","2.0.0","12620","YELLOW","blue","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","34","2.0.0","13125","","",""
"null","","null","html-keyboard-response","35","2.0.0","13327","","",""
"126","<p style='color: yellow; font-size: 48px;'>GREEN</p>","y","html-keyboard-response","36","2.0.0","13454","GREEN","yellow","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","37","2.0.0","13957","","",""
"null","","null","html-keyboard-response","38","2.0.0","14162","","",""
"121","<p style='color: red; font-size: 48px;'>GREEN</p>","b","html-keyboard-response","39","2.0.0","14284","GREEN","red","false"
